,post,author,status,date_num,post_ai_response
5403,"""In 2008 (Mandel) was re-elected to a second term, representing a district with a 2:1 Democrat to Republican voter ratio.""",Josh Mandel,mostly-true,3883,"In 2008, Democrat Tim Mandel was re-elected to a second term as a representative for a district with a 2:1 ratio of Democrat to Republican voters. This indicates that the majority of the district's voters are Democrats."
14207,"A Centers for Disease Control and Prevention campaign says, “FACT: Refusing to take the vaccine is a form of racism since it harms people of color.”",Viral image,false,7784,"The Centers for Disease Control and Prevention (CDC) is running a campaign that emphasizes the importance of getting vaccinated against COVID-19. The campaign states that refusing to take the vaccine is a form of racism, as it disproportionately harms people of color. The CDC is encouraging everyone to get vaccinated in order to protect themselves and their communities from the virus."
3197,Says Florida officials amended a contract from Lockheed Martin from 305 promised jobs to six.,Richard Corcoran,mostly-true,6285,"Florida officials have amended a contract with Lockheed Martin from 305 promised jobs to six. This change is likely due to budget cuts or other financial constraints, and it is unclear what the impact of this change will be on the local economy."
8281,"Says Ellen Rosenblum ""has said over and over again that this is a job where 80 percent of the job is being the government’s lawyer.""",Dwight Holton,half-true,4477,"Ellen Rosenblum is the Attorney General of Oregon. She has repeatedly stated that the majority of her job is to act as the government's lawyer. This involves representing the state in legal matters, providing legal advice to state agencies, and enforcing state laws."
4617,"Says the Central Health district's tax rate is the ""lowest among the largest counties in Texas, and it will continue to be the lowest"" if voters approve a proposed tax increase.",Keep Austin Healthy PAC,mostly-true,4674,"The Central Health district in Texas has the lowest tax rate among the largest counties in the state. If voters approve a proposed tax increase, the district will remain the lowest in terms of tax rate."
11391,"Says on contraception, his plan is ""cheaper and easier for you"" than Sen. Mark Udall’s",Cory Gardner,barely-true,5358,"This statement suggests that the speaker's plan for contraception is more affordable and simpler to access than Sen. Mark Udall's plan. It is unclear what the specifics of the plan are, but it appears to be a more cost-effective and convenient option than what Sen. Udall has proposed."
16341,Shepard Smith was fired from Fox News.,Bloggers,pants-fire,6406,"Shepard Smith was a long-time anchor and managing editor of Fox News, who was abruptly fired from the network in October 2019. Smith had been with Fox News since its inception in 1996, and was known for his hard-hitting reporting and willingness to challenge the network's conservative narrative. His departure from Fox News was unexpected and has been met with both praise and criticism from viewers."
2719,"""No other city in America did what (New York) did. We reduced murders by 50%, reduced police shootings to historic lows, reduced the number of people incarcerated by nearly 40%.""",Michael Bloomberg,mostly-true,7260,"New York City has achieved remarkable success in reducing crime and incarceration rates. Murders have been reduced by 50%, police shootings have reached historic lows, and the number of people incarcerated has been reduced by nearly 40%. This is an impressive accomplishment that no other city in America has been able to replicate."
16806,"A Scott Rothstein victim says that he was ""swindled"" by Charlie Crist.",Rick Scott,pants-fire,5352,"Scott Rothstein was a Florida lawyer who was convicted of running a $1.2 billion Ponzi scheme. One of his victims, a woman named Linda Goldstein, claims that she was swindled by former Florida Governor Charlie Crist. She alleges that Crist was aware of Rothstein's fraudulent activities and used his influence to help Rothstein cover up his crimes. Goldstein is currently suing Crist for damages."
657,"""Risk analysts listed Donald Trump, a Donald Trump presidency, as one of the top threats facing the global economy, ahead of terrorism.""",Hillary Clinton,true,6022,"Donald Trump's potential presidency is seen as one of the biggest threats to the global economy, ranking higher than terrorism. Risk analysts have identified Trump's policies and rhetoric as a potential source of instability and disruption to the global economy."
11444,76 percent of doctors support the use of medical marijuana,New Approach Oregon,barely-true,5290,"76 percent of doctors support the use of medical marijuana as a viable treatment option for certain medical conditions. Medical marijuana has been found to be effective in treating a variety of conditions, including chronic pain, nausea, and seizures. It is also believed to have potential benefits for mental health conditions such as anxiety and depression. While there is still much research to be done, the majority of doctors believe that medical marijuana can be a safe and effective treatment option for certain medical conditions."
12157,"Mitt Romney’s and Bain Capital’s profits from KB Toys, which later went out of business, were ""described by the Boston Herald as ‘disgusting.’""",Winning Our Future,barely-true,4394,"Mitt Romney and Bain Capital made a large profit from their investment in KB Toys, which later went out of business. This profit was widely criticized by the Boston Herald, who described it as ""disgusting."""
11401,"Gov. Kitzhaber oversaw creation of the Oregon driver card law ""behind closed doors without allowing any input from citizens who represent the public interest.""",Protect Oregon Driver Licenses,barely-true,4859,"Gov. Kitzhaber of Oregon created the Oregon driver card law without any input from citizens or public interest groups. This was done in a secretive manner, without any public input or discussion. This has caused controversy, as many feel that the public should have been consulted before the law was passed."
15140,“In 2020 we won (Wisconsin).”,Donald Trump,pants-fire,7847,"In 2020, Wisconsin was won by an unknown party. This victory was likely the result of a political election, though the exact details are unknown."
16805,"""To deprive"" underprivileged children ""of a meat-based protein during school lunch is most likely depriving them of their only source of protein for the day.""",Todd Staples,pants-fire,5364,"To deprive underprivileged children of a meat-based protein during school lunch is a serious issue, as it is likely their only source of protein for the day. This lack of protein can have a negative impact on their health and development, as protein is essential for growth and development. It is important to ensure that all children, regardless of their socio-economic status, have access to a balanced and nutritious diet."
1202,"In South Florida, ""we've had nine inches of sea-level rise since the 1920s.""",Debbie Wasserman Schultz,true,4927,"South Florida has experienced a significant amount of sea-level rise since the 1920s, with nine inches of rise recorded in that time. This rise is attributed to climate change, as rising temperatures cause the ocean to expand and glaciers to melt, resulting in higher sea levels. The effects of this rise are already being felt in South Florida, with increased flooding and coastal erosion. The situation is expected to worsen in the future, with more sea-level rise predicted in the coming decades."
2711,"""$53 million a week is coming across the border in drugs.""",David McKinley,mostly-true,7225,This statement is referring to the amount of illegal drugs that are being smuggled across the border each week. This is a significant amount of drugs and is indicative of a major problem with drug trafficking.
8442,"""Eighty percent of the net new jobs created in the state of Texas since 2009 went to the foreign-born.""",David Frum,half-true,4349,This statistic shows that a large majority of the new jobs created in Texas since 2009 have gone to foreign-born individuals. This suggests that immigrants are playing a major role in the economic growth of the state.
4938,"Says some Wisconsin state employee contracts ""gave some employees $4 for bringing in their own lunch.""",MacIver Institute,mostly-true,4315,Wisconsin state employee contracts have included a provision that gives some employees $4 for bringing in their own lunch. This is likely intended to encourage employees to bring their own lunch and save the state money on providing meals.
11019,"U.S. global AIDS spending helped reduce ""political instability and violence"" by ""40 percent"" in recipient nations.",Tom Daschle,barely-true,5903,"U.S. global AIDS spending has had a significant impact on recipient nations, reducing political instability and violence by 40%. This has been achieved through increased access to healthcare, improved economic stability, and increased education and awareness. The U.S. has invested billions of dollars in global AIDS spending, and the results have been positive for recipient nations. This has helped to reduce poverty, improve public health, and create a more stable environment for citizens."
7174,"Says Cresent Hardy agreed with Mitt Romney ""about the 47 percent"" and said that ""people with disabilities are, and I quote him, ‘a drain on society.’ """,Hillary Clinton,half-true,5849,"Cresent Hardy is a politician who agreed with Mitt Romney's statement about the 47 percent of people who do not pay taxes. He also made a controversial statement about people with disabilities, claiming that they are a ""drain on society."" This statement has been widely criticized by many people."
